regime,small_fit_overhead,repeats,trials,xgb_gpu_hours_family_level,xgb_gpu_hours_super_family,ridge_cpu_hours_family_level,ridge_cpu_hours_super_family,xgb_gpu_hours_total,ridge_cpu_hours_total
faster,intercept,1,10,17.887643215725618,3.4743318554545897,1.3388864277777788,0.30903210555555555,21.361975071180208,1.6479185333333344
faster,intercept,1,20,30.88603885553962,5.454877177974746,2.1196833166666673,0.4422642722222223,36.34091603351437,2.5619475888888896
faster,intercept,3,10,45.28059473383761,9.243327699885162,2.573256483333333,0.7317964333333333,54.523922433722774,3.3050529166666665
faster,intercept,3,20,76.46132200795294,14.082423803519465,3.540977816666667,0.9454930444444445,90.5437458114724,4.486470861111112
faster,intercept,5,10,72.67354625194963,15.012323544315738,3.8076265388888895,1.1545607611111113,87.68586979626537,4.962187300000001
faster,intercept,5,20,122.03660516036626,22.709970429064185,4.962272316666668,1.4487218166666669,144.74657558943045,6.410994133333334
faster,origin,1,10,7.81972526558004,2.00210020841834,1.3388864277777788,0.30903210555555555,9.82182547399838,1.6479185333333344
faster,origin,1,20,10.948501651990508,2.535982531605069,2.1196833166666673,0.4422642722222223,13.484484183595576,2.5619475888888896
faster,origin,3,10,17.372777774759374,5.184338072757833,2.573256483333333,0.7317964333333333,22.557115847517206,3.3050529166666665
faster,origin,3,20,21.25058991700251,6.040654126542124,3.540977816666667,0.9454930444444445,27.291244043544637,4.486470861111112
faster,origin,5,10,26.92583028393872,8.366575937097323,3.8076265388888895,1.1545607611111113,35.292406221036046,4.962187300000001
faster,origin,5,20,31.552678182014485,9.545325721479177,4.962272316666668,1.4487218166666669,41.09800390349366,6.410994133333334
slower,intercept,1,10,38.225802139158425,7.14907273875321,1.3388864277777788,0.30903210555555555,45.37487487791164,1.6479185333333344
slower,intercept,1,20,67.4593401374255,11.570751714929152,2.1196833166666673,0.4422642722222223,79.03009185235464,2.5619475888888896
slower,intercept,3,10,98.14540540298549,19.100902357328216,2.573256483333333,0.7317964333333333,117.2463077603137,3.3050529166666665
slower,intercept,3,20,170.33961204315565,30.159975981521534,3.540977816666667,0.9454930444444445,200.4995880246772,4.486470861111112
slower,intercept,5,10,158.0650086668125,31.05273197590322,3.8076265388888895,1.1545607611111113,189.11774064271572,4.962187300000001
slower,intercept,5,20,273.21988394888587,48.74920024811392,4.962272316666668,1.4487218166666669,321.9690841969998,6.410994133333334
slower,origin,1,10,14.23076702532772,3.6435323057667652,1.3388864277777788,0.30903210555555555,17.874299331094484,1.6479185333333344
slower,origin,1,20,19.924686736975207,4.615120782621968,2.1196833166666673,0.4422642722222223,24.539807519597176,2.5619475888888896
slower,origin,3,10,31.615938501524013,9.434744161498454,2.573256483333333,0.7317964333333333,41.05068266302247,3.3050529166666665
slower,origin,3,20,38.67299476501609,10.993115312348387,3.540977816666667,0.9454930444444445,49.66611007736448,4.486470861111112
slower,origin,5,10,49.00110997772028,15.225956017230141,3.8076265388888895,1.1545607611111113,64.22706599495042,4.962187300000001
slower,origin,5,20,57.42130279305697,17.3711098420748,4.962272316666668,1.4487218166666669,74.79241263513177,6.410994133333334
