target,unit,n_family,g,n_g
S,iv_vi_rocksalt,20158,skutterudite,18696
S,skutterudite,18696,iv_vi_rocksalt,20158
S,half_heusler,13498,tetradymite,11423
S,cobaltite,8423,mg2x,7445
S,tetradymite,11423,half_heusler,13498
S,mg2x,7445,cobaltite,8423
S,manganite,3880,tm_silicide,3725
S,perovskite_titanate,4332,tm_silicide,3725
S,gete_type,5636,perovskite_titanate,4332
S,tm_silicide,3725,manganite,3880
S,cu2x_ag2x_liquid_like,3182,zinc_antimonide,2972
S,bicuseo,2467,diamond_like_cu,2574
S,zinc_antimonide,2972,clathrate_type_i,2805
S,diamond_like_cu,2574,bicuseo,2467
S,clathrate_type_i,2805,zinc_antimonide,2972
S,zintl_122,2180,bicuseo,2467
S,full_heusler,1873,zintl_122,2180
S,zno_based,1372,i_v_vi2,1378
S,snse_type,1457,mg3x2_zintl,1434
S,sige,1409,mg3x2_zintl,1434
S,mg3x2_zintl,1434,snse_type,1457
S,i_v_vi2,1378,zno_based,1372
sigma,iv_vi_rocksalt,20363,skutterudite,18088
sigma,skutterudite,18088,iv_vi_rocksalt,20363
sigma,half_heusler,13753,cobaltite,12173
sigma,cobaltite,12173,tetradymite,11244
sigma,tetradymite,11244,cobaltite,12173
sigma,mg2x,6568,manganite,6554
sigma,manganite,6554,mg2x,6568
sigma,perovskite_titanate,4156,tm_silicide,3650
sigma,gete_type,5538,manganite,6554
sigma,tm_silicide,3650,cu2x_ag2x_liquid_like,3166
sigma,cu2x_ag2x_liquid_like,3166,zinc_antimonide,2833
sigma,bicuseo,2335,diamond_like_cu,2413
sigma,zinc_antimonide,2833,cu2x_ag2x_liquid_like,3166
sigma,diamond_like_cu,2413,bicuseo,2335
sigma,clathrate_type_i,2016,zintl_122,2124
sigma,zintl_122,2124,full_heusler,2191
sigma,full_heusler,2191,zintl_122,2124
sigma,zno_based,1650,mg3x2_zintl,1592
sigma,snse_type,1379,sige,1333
sigma,sige,1333,snse_type,1379
sigma,mg3x2_zintl,1592,zno_based,1650
sigma,i_v_vi2,1229,sige,1333
sigma,gete_sb2te3_pseudobinary,1083,i_v_vi2,1229
kappa,iv_vi_rocksalt,17175,skutterudite,14348
kappa,skutterudite,14348,iv_vi_rocksalt,17175
kappa,half_heusler,9234,tetradymite,9236
kappa,cobaltite,2231,tm_silicide,2277
kappa,tetradymite,9236,half_heusler,9234
kappa,mg2x,4858,gete_type,4983
kappa,manganite,1404,mg3x2_zintl,1342
kappa,perovskite_titanate,2878,cu2x_ag2x_liquid_like,2280
kappa,gete_type,4983,mg2x,4858
kappa,tm_silicide,2277,cu2x_ag2x_liquid_like,2280
kappa,cu2x_ag2x_liquid_like,2280,tm_silicide,2277
kappa,bicuseo,2148,diamond_like_cu,2156
kappa,zinc_antimonide,1964,bicuseo,2148
kappa,diamond_like_cu,2156,bicuseo,2148
kappa,zintl_122,1561,manganite,1404
kappa,snse_type,1243,mg3x2_zintl,1342
kappa,mg3x2_zintl,1342,manganite,1404
zT,iv_vi_rocksalt,17754,skutterudite,15825
zT,skutterudite,15825,iv_vi_rocksalt,17754
zT,half_heusler,10173,tetradymite,9470
zT,cobaltite,2040,zinc_antimonide,2220
zT,tetradymite,9470,half_heusler,10173
zT,mg2x,5877,gete_type,5547
zT,manganite,1153,i_v_vi2,1268
zT,perovskite_titanate,2676,cu2x_ag2x_liquid_like,2483
zT,gete_type,5547,mg2x,5877
zT,tm_silicide,1744,clathrate_type_i,1756
zT,cu2x_ag2x_liquid_like,2483,diamond_like_cu,2382
zT,bicuseo,2221,zinc_antimonide,2220
zT,zinc_antimonide,2220,bicuseo,2221
zT,diamond_like_cu,2382,cu2x_ag2x_liquid_like,2483
zT,clathrate_type_i,1756,tm_silicide,1744
zT,zintl_122,2228,bicuseo,2221
zT,snse_type,1283,i_v_vi2,1268
zT,mg3x2_zintl,1412,snse_type,1283
zT,i_v_vi2,1268,snse_type,1283
