log,target,split,n_train,sec_per_fit,n_estimators,max_depth,x,sec_per_row_tree,regime
checkpoints\ladder_regen_dl\S_composition_f5\progress.log,S,composition,148675.20833333334,20.0,500,10,743376041.6666667,2.69042838065638e-07,slower
checkpoints\ladder_regen_dl\S_kfold_f10\progress.log,S,kfold,167259.66666666666,21.0,500,10,836298333.3333333,2.5110656284938193e-07,slower
checkpoints\ladder_regen_dl\S_kfold_f5\progress.log,S,kfold,148675.25,20.0,500,10,743376250.0,2.6904276266560844e-07,slower
checkpoints\ladder_regen_dl\S_random_f20\progress.log,S,random,148675.0,22.0,500,10,743375000.0,2.9594753657306205e-07,slower
checkpoints\ladder_regen_dl\kappa_composition_f5\progress.log,kappa,composition,97228.0,13.0,350,9,306268200.0,3.8201811353578334e-07,slower
checkpoints\ladder_regen_dl\kappa_kfold_f10\progress.log,kappa,kfold,109381.55555555556,13.0,350,9,344551900.0,3.395714840057477e-07,slower
checkpoints\ladder_regen_dl\kappa_kfold_f5\progress.log,kappa,kfold,97228.0,13.0,350,9,306268200.0,3.8201811353578334e-07,slower
checkpoints\ladder_regen_dl\kappa_random_f20\progress.log,kappa,random,97228.0,14.0,350,9,306268200.0,4.1140412226930514e-07,slower
checkpoints\ladder_regen_dl\sigma_composition_f5\progress.log,sigma,composition,146596.83333333334,27.0,550,10,806282583.3333335,3.348701876751027e-07,slower
checkpoints\ladder_regen_dl\sigma_kfold_f10\progress.log,sigma,kfold,164921.44444444444,28.0,550,10,907067944.4444444,3.0868690897404903e-07,slower
checkpoints\ladder_regen_dl\sigma_kfold_f5\progress.log,sigma,kfold,146597.0,27.0,550,10,806283500.0,3.3486980695995887e-07,slower
checkpoints\ladder_regen_dl\sigma_random_f20\progress.log,sigma,random,146596.0,29.0,550,10,806278000.0,3.5967743135742265e-07,slower
checkpoints\ladder_regen_dl\zT_composition_f5\progress.log,zT,composition,103880.83333333333,18.0,500,9,467463750.0,3.4655093576774674e-07,slower
checkpoints\ladder_regen_dl\zT_kfold_f10\progress.log,zT,kfold,116866.0,19.0,500,9,525897000.0,3.2515872880050657e-07,slower
checkpoints\ladder_regen_dl\zT_kfold_f5\progress.log,zT,kfold,103881.0,17.5,500,9,467464500.0,3.3692398032363955e-07,slower
checkpoints\ladder_regen_dl\zT_random_f20\progress.log,zT,random,103880.0,19.0,500,9,467460000.0,3.6580670003850597e-07,slower
checkpoints\saved_predictions\checkpoints\S_chemistry\progress.log,S,chemistry,148051.20833333334,12.0,500,10,740256041.6666667,1.6210607309576725e-07,faster
checkpoints\saved_predictions\checkpoints\kappa_chemistry\progress.log,kappa,chemistry,96888.0,7.0,350,9,305197200.0,2.06423912145983e-07,faster
checkpoints\saved_predictions\checkpoints\sigma_chemistry\progress.log,sigma,chemistry,146204.0,15.0,550,10,804122000.0,1.8653885853141687e-07,faster
checkpoints\saved_predictions\checkpoints\zT_chemistry\progress.log,zT,chemistry,103535.20833333333,9.0,500,9,465908437.5,1.7385390235608257e-07,faster
kaggle_out\S_chemistry_full\progress.log,S,chemistry,148051.20833333334,12.0,500,10,740256041.6666667,1.6210607309576725e-07,faster
kaggle_out\regen_postfix\S_chemistry_full\progress.log,S,chemistry,148051.20833333334,20.0,500,10,740256041.6666667,2.7017678849294543e-07,slower
kaggle_out\regen_postfix\S_composition_full\progress.log,S,composition,148051.20833333334,19.0,500,10,740256041.6666667,2.566679490682981e-07,slower
kaggle_out\regen_postfix\kappa_chemistry_full\progress.log,kappa,chemistry,96888.0,12.5,350,9,305197200.0,3.6861412883211247e-07,slower
kaggle_out\regen_postfix\kappa_composition_full\progress.log,kappa,composition,96888.0,12.5,350,9,305197200.0,3.6861412883211247e-07,slower
kaggle_out\regen_postfix\sigma_chemistry_full\progress.log,sigma,chemistry,146204.0,26.0,550,10,804122000.0,3.2333402145445594e-07,slower
kaggle_out\regen_postfix\sigma_composition_full\progress.log,sigma,composition,146204.0,26.0,550,10,804122000.0,3.2333402145445594e-07,slower
kaggle_out\regen_postfix\zT_chemistry_full\progress.log,zT,chemistry,103535.20833333333,17.0,500,9,465908437.5,3.283907044503782e-07,slower
kaggle_out\regen_postfix\zT_composition_full\progress.log,zT,composition,103535.20833333333,17.0,500,9,465908437.5,3.283907044503782e-07,slower
