target,unit,n_family,g,n_g
S,bicuseo,2467,diamond_like_cu,2574
S,clathrate_type_i,2805,zinc_antimonide,2972
S,cu2x_ag2x_liquid_like,3182,zinc_antimonide,2972
S,diamond_like_cu,2574,bicuseo,2467
S,full_heusler,1873,sige,1409
S,half_heusler,13498,tetradymite,11423
S,i_v_vi2,1378,sige,1409
S,mg2x,7445,zintl,4767
S,sige,1409,i_v_vi2,1378
S,skutterudite,18696,oxides,18779
S,tetradymite,11423,half_heusler,13498
S,tm_silicide,3725,cu2x_ag2x_liquid_like,3182
S,zinc_antimonide,2972,clathrate_type_i,2805
sigma,bicuseo,2335,diamond_like_cu,2413
sigma,clathrate_type_i,2016,full_heusler,2191
sigma,cu2x_ag2x_liquid_like,3166,zinc_antimonide,2833
sigma,diamond_like_cu,2413,bicuseo,2335
sigma,full_heusler,2191,bicuseo,2335
sigma,half_heusler,13753,tetradymite,11244
sigma,i_v_vi2,1229,sige,1333
sigma,mg2x,6568,zintl,4742
sigma,sige,1333,i_v_vi2,1229
sigma,skutterudite,18088,half_heusler,13753
sigma,tetradymite,11244,half_heusler,13753
sigma,tm_silicide,3650,cu2x_ag2x_liquid_like,3166
sigma,zinc_antimonide,2833,cu2x_ag2x_liquid_like,3166
kappa,bicuseo,2148,diamond_like_cu,2156
kappa,cu2x_ag2x_liquid_like,2280,tm_silicide,2277
kappa,diamond_like_cu,2156,bicuseo,2148
kappa,half_heusler,9234,tetradymite,9236
kappa,mg2x,4858,zintl,3448
kappa,skutterudite,14348,tetradymite,9236
kappa,tetradymite,9236,half_heusler,9234
kappa,tm_silicide,2277,cu2x_ag2x_liquid_like,2280
kappa,zinc_antimonide,1964,bicuseo,2148
zT,bicuseo,2221,zinc_antimonide,2220
zT,clathrate_type_i,1756,tm_silicide,1744
zT,cu2x_ag2x_liquid_like,2483,diamond_like_cu,2382
zT,diamond_like_cu,2382,cu2x_ag2x_liquid_like,2483
zT,half_heusler,10173,tetradymite,9470
zT,i_v_vi2,1268,tm_silicide,1744
zT,mg2x,5877,oxides,6810
zT,skutterudite,15825,half_heusler,10173
zT,tetradymite,9470,half_heusler,10173
zT,tm_silicide,1744,clathrate_type_i,1756
zT,zinc_antimonide,2220,bicuseo,2221
