host,assigned_family,matched_rule,rules_matched,nearest_rule,why_not,rows,S,sigma,kappa,zT,rule_description
Cu0.925Bi0.925Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,30,0,10,10,10,BiCuSeO-type oxychalcogenide
Cu0.94Bi0.94Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,90,30,26,29,30,BiCuSeO-type oxychalcogenide
Cu0.95Bi0.95Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,27,0,7,10,10,BiCuSeO-type oxychalcogenide
Cu0.95Bi1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,46,20,7,18,17,BiCuSeO-type oxychalcogenide
Cu1Bi0.9408Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,46,12,12,10,12,BiCuSeO-type oxychalcogenide
Cu1Bi0.945Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,35,9,9,9,8,BiCuSeO-type oxychalcogenide
Cu1Bi0.94Te1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,6,6,7,6,BiCuSeO-type oxychalcogenide
Cu1Bi0.95S1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,7,5,7,7,BiCuSeO-type oxychalcogenide
Cu1Bi0.95Se1O0.95,bicuseo,bicuseo,bicuseo;other_oxide,,,17,8,9,9,9,BiCuSeO-type oxychalcogenide
Cu1Bi0.95Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,202,122,123,94,88,BiCuSeO-type oxychalcogenide
Cu1Bi0.9Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,340,211,203,205,195,BiCuSeO-type oxychalcogenide
Cu1Bi1Se0.92O1,bicuseo,bicuseo,bicuseo;other_oxide,,,10,9,6,10,8,BiCuSeO-type oxychalcogenide
Cu1Bi1Se0.9O1,bicuseo,bicuseo,bicuseo;other_oxide,,,41,19,9,15,19,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.4Se0.6O1,bicuseo,bicuseo,bicuseo;other_oxide,,,34,10,4,10,10,BiCuSeO-type oxychalcogenide
Sr0.2La0.8Cu1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,13,13,0,0,0,BiCuSeO-type oxychalcogenide
Ba15Ga29Ge55,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,16,20,10,12,Type-I clathrate A8B16C30
Ba2Ga4Sn7,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,13,12,13,0,0,Type-I clathrate A8B16C30
Ba4Al3(GaSn3)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,13,12,12,6,12,Type-I clathrate A8B16C30
Ba4Al5(GaSn5)3,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,12,12,12,0,0,Type-I clathrate A8B16C30
Ba4In8Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,13,10,10,6,10,Type-I clathrate A8B16C30
Ba8Ga16Si11Ge19,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,7,6,6,0,0,Type-I clathrate A8B16C30
Ba8Ga16Si13Ge17,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,7,6,4,0,0,Type-I clathrate A8B16C30
Ba8Ga16Si3.49Ge27,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,4,1,1,4,0,Type-I clathrate A8B16C30
Sr15(Ga15Ge28)2,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,20,16,5,5,Type-I clathrate A8B16C30
Sr16Ga28Ge55,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,19,10,10,10,11,Type-I clathrate A8B16C30
Sr4(GaGe2)7,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,6,10,9,10,Type-I clathrate A8B16C30
Sr4Ga8Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,80,63,42,33,53,Type-I clathrate A8B16C30
Sr8Al11(GaSi6)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr8Al5Ga11Si30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr8Al6.6Ga11Ge29,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,15,15,0,0,0,Type-I clathrate A8B16C30
Ag2.2Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,7,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2.3Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,7,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag23Te12,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,8,8,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Se1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,10,6,6,7,7,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.6S0.4,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,13,0,0,9,9,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu0.2Ag1.8Te1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,4,6,6,6,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.57Ag0.4Se0.3S0.7,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,12,7,6,8,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.7S1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,15,13,11,12,12,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.8Se0.3S0.7,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,15,9,9,9,9,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu199Se99,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,18,6,8,9,9,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1Ag1Se0.9,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,4,6,5,7,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2.3S1.3,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,62,55,48,3,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Ag0.2Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,19,18,19,18,19,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Se0.92,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,18,12,18,4,17,"Cu2/Ag2 (Se,S,Te) liquid-like"
CuAgTe,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,112,66,71,59,59,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.82Sn0.91Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,10,10,10,10,10,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu1.86Sn0.93Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,11,10,11,10,10,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2.75Sb1Se4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,8,4,4,4,4,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn0.91Se2.7,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,13,8,11,11,9,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn1.05Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,4,2,1,3,3,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3Sb0.94Se3S1,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,15,8,9,8,8,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3Sb0.95Se4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,9,8,8,8,8,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3Sb0.9Se4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,36,23,23,15,13,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3Sb1Se2.8S1.2,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,16,16,16,16,16,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3SbSe4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,585,469,466,422,404,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
