prev_family,bicuseo,clathrate_type_i,cobaltite,cu2x_ag2x_liquid_like,diamond_like_cu,full_heusler,gete_sb2te3_pseudobinary,gete_type,half_heusler,i_v_vi2,in2o3_based,iv_vi_rocksalt,manganite,mg2x,mg3x2_zintl,mgagsb,other_oxide,perovskite_titanate,sige,skutterudite,snse_type,tetradymite,tetrahedrite,tm_silicide,unassignable,zinc_antimonide,zintl_122,zintl_14_1_11,zno_based
bicuseo,4397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clathrate_type_i,0,3445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cu2x_ag2x_liquid_like,0,0,0,4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diamond_like_cu,0,0,0,0,3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
full_heusler,0,0,0,0,0,2941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gete_sb2te3_pseudobinary,0,0,0,0,0,0,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533,0,0,0,0
gete_type,0,0,0,0,0,0,0,5944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
half_heusler,0,0,0,0,0,0,0,0,19657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i_v_vi2,0,0,0,0,0,0,0,0,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in2o3_based,0,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iv_vi_rocksalt,0,0,0,0,0,0,0,0,0,0,0,29415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layered_cobaltite,0,0,16311,0,0,0,0,0,0,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
manganite,0,0,0,0,0,0,0,0,0,0,0,0,9458,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
mg2x,0,0,0,0,0,0,0,0,0,0,0,0,0,9893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mg3x2_zintl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mgagsb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0
other_oxide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23444,0,0,0,0,0,0,0,0,0,0,0,0
perovskite_titanate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8273,0,0,0,0,0,0,0,0,0,0,0
sige,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,0,0,0,0,0,0,0,0,0,0
skutterudite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26698,0,0,0,0,0,0,0,0,0
snse_type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2458,0,0,0,0,0,0,0,0
tetradymite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14685,0,0,0,0,0,0,0
tetrahedrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0
tm_silicide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,0,0,0,0,0
unassignable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,65335,0,0,0,0
zinc_antimonide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815,0,0,0
zintl_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3022,0,0
zintl_14_1_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0
zno_based,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2894
