host,rows,S,sigma,kappa,zT,family,n_rules_matched,all_matches,nearest_rule,why_not
Ag,95,95,0,0,0,unassignable,0,,cu2x_ag2x_liquid_like,a required site is empty
Ag(Te4Mo3)2,15,9,7,9,8,unassignable,0,,cu2x_ag2x_liquid_like,elements outside rule: Mo
Ag0.054Te0.399Pb0.407O0.14,5,5,4,0,0,unassignable,0,,bicuseo,ratio spread 1.412 > 0.15
Ag0.1066Te1Pb0.92057108,7,4,2,2,6,unassignable,0,,bicuseo,a required site is empty
Ag0.1076Te1Pb0.92860068,19,17,9,19,12,unassignable,0,,bicuseo,a required site is empty
Ag0.1086Te1Pb0.93681042,19,17,13,17,17,unassignable,0,,bicuseo,a required site is empty
Ag0.1098Sn0.6965Sb0.1674Te1,18,10,10,10,10,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.1098Sn0.7Sb0.1674Te1,13,12,13,6,5,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11945Te1Pb0.945,19,16,14,17,14,unassignable,0,,bicuseo,a required site is empty
Ag0.11Ge0.61Sb0.22Te1,42,40,40,41,7,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11Ge0.62Sb0.13Te1Pb0.12,102,58,55,58,53,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11Ge0.74Sb0.13Te1,17,10,10,7,10,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11Ge0.77Te1Pb0.12,18,11,10,7,9,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11Ge0.89Te1,19,11,11,11,11,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.11Te1.055Pb1,10,0,0,0,10,unassignable,0,,bicuseo,a required site is empty
Ag0.11Te1Pb0.910602,19,17,17,16,16,unassignable,0,,bicuseo,a required site is empty
Ag0.11Te1Pb0.945,72,46,47,42,44,unassignable,0,,bicuseo,a required site is empty
Ag0.1289Te1Pb0.945,19,16,13,13,13,unassignable,0,,bicuseo,a required site is empty
Ag0.12Sn0.82Te1,9,0,9,8,9,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.12Sn0.88Sb0.12Te0.64Se0.24,19,10,11,11,9,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.13835Te1Pb0.945,19,15,16,13,14,unassignable,0,,bicuseo,a required site is empty
Ag0.13Ge0.53Sb0.27Te1,38,37,8,36,36,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.143Te0.357Pb0.374O0.126,3,2,3,0,0,unassignable,0,,bicuseo,ratio spread 0.992 > 0.15
Ag0.1464Sn0.6Sb0.2232Te1,12,7,10,5,4,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.1478Te1Pb0.945,18,16,7,0,14,unassignable,0,,bicuseo,a required site is empty
Ag0.15Ge0.85Sb0.15Se1.15,11,6,8,10,10,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.15Ge0.85Sb0.15Te1.15,63,29,23,21,48,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.15Ge1Sb0.15Se1.3,9,9,8,9,9,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.15Ge1Sb0.15Te0.3Se1,10,10,7,10,10,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.15Sn0.7Sb0.15Te0.3Se0.7,8,7,8,4,7,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.15Sn0.85Sb0.15Te0.55Se0.3,18,9,9,9,9,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.15Te1Pb1,13,9,5,9,9,unassignable,0,,bicuseo,a required site is empty
Ag0.16Ge1Te1.1,7,5,6,4,4,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.183Sn0.5Sb0.279Te1,13,13,12,5,4,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.1Sn0.85Te1,10,0,9,9,6,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.1Te1Pb0.9,10,8,7,9,9,unassignable,0,,bicuseo,a required site is empty
Ag0.2196Sn0.4Sb0.3348Te1,14,13,7,5,6,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.2562Sn0.3Sb0.3906Te1,11,9,9,5,3,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.25Sn0.5Sb0.25Te0.5Se0.5,11,6,7,5,6,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.2745Sn0.25Sb0.4185Te1,12,9,0,5,4,unassignable,0,,i_v_vi2,elements outside rule: Sn
Ag0.2928Sn0.2Sb0.4464Te1,13,11,10,5,5,unassignable,0,,i_v_vi2,elements outside rule: Sn
Ag0.2Bi0.5Sb0.3Te3,10,10,0,0,0,unassignable,0,,i_v_vi2,ratio spread 1.560 > 0.15
Ag0.2Ge0.8Sb0.2Te1.2,19,18,18,5,19,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.2Ge1Sb0.2Se1.4,9,9,7,9,9,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.2Ge1Sb0.2Te0.4Se1,10,10,6,10,10,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.2Sn0.4Sb0.2Te1.2Pb0.4,8,8,8,8,8,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.2Sn0.6Sb0.2Te0.4Se0.6,8,5,8,6,8,unassignable,0,,iv_vi_rocksalt,elements outside rule: Ag
Ag0.2Te1Pb1,11,11,5,0,0,unassignable,0,,bicuseo,a required site is empty
Ag0.3111Sn0.15Sb0.4743Te1,14,14,9,5,5,unassignable,0,,i_v_vi2,elements outside rule: Sn
Ag0.3294Sn0.1Sb0.5022Te1,9,5,4,5,3,unassignable,0,,i_v_vi2,elements outside rule: Sn
Ag0.32Ge1Te1.2,7,5,0,5,0,unassignable,0,,gete_type,elements outside rule: Ag
Ag0.33672Sb0.51336Te1,13,10,12,6,6,unassignable,0,,i_v_vi2,ratio spread 0.393 > 0.15
Ag0.3477Sb0.5301Te1,11,7,5,5,3,unassignable,0,,i_v_vi2,ratio spread 0.397 > 0.15
Ag0.35136Sb0.53568Te1,13,9,12,6,6,unassignable,0,,i_v_vi2,ratio spread 0.399 > 0.15
Ag0.355875Sb0.54405Te1,10,10,10,10,10,unassignable,0,,i_v_vi2,ratio spread 0.403 > 0.15
Ag0.35868Sb0.54684Te1,13,12,12,6,5,unassignable,0,,i_v_vi2,ratio spread 0.402 > 0.15
