unit,kind,members,clusters_all,clusters_S,rows_S,qualifies_S,clusters_sigma,rows_sigma,qualifies_sigma,clusters_kappa,rows_kappa,qualifies_kappa,clusters_zT,rows_zT,qualifies_zT,members_below_threshold_alone_S,members_below_threshold_alone_sigma,members_below_threshold_alone_kappa,members_below_threshold_alone_zT
iv_vi,super_family,iv_vi_rocksalt;gete_type;snse_type;gete_sb2te3_pseudobinary,730,697,28245,True,690,28363,True,652,23701,True,647,24948,True,gete_sb2te3_pseudobinary,,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary
oxides,super_family,cobaltite;manganite;perovskite_titanate;zno_based;in2o3_based,903,640,18779,True,761,25197,True,392,7656,True,326,6810,True,in2o3_based,in2o3_based,zno_based;in2o3_based,zno_based;in2o3_based
zintl,super_family,zintl_122;mg3x2_zintl;zintl_14_1_11,171,156,4767,True,163,4742,True,148,3448,True,143,4389,True,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11
bicuseo,family,bicuseo,49,45,2467,True,44,2335,True,43,2148,True,43,2221,True,,,,
clathrate_type_i,family,clathrate_type_i,99,98,2805,True,74,2016,True,56,895,False,64,1756,True,,,,
cu2x_ag2x_liquid_like,family,cu2x_ag2x_liquid_like,128,120,3182,True,113,3166,True,112,2280,True,116,2483,True,,,,
diamond_like_cu,family,diamond_like_cu,103,97,2574,True,90,2413,True,91,2156,True,102,2382,True,,,,
full_heusler,family,full_heusler,120,106,1873,True,112,2191,True,48,407,False,42,384,False,,,,
half_heusler,family,half_heusler,598,548,13498,True,565,13753,True,508,9234,True,499,10173,True,,,,
i_v_vi2,family,i_v_vi2,44,41,1378,True,33,1229,True,35,980,False,38,1268,True,,,,
mg2x,family,mg2x,237,232,7445,True,214,6568,True,206,4858,True,207,5877,True,,,,
mgagsb,family,mgagsb,1,1,348,False,1,326,False,1,346,False,1,343,False,,,,
sige,family,sige,48,43,1409,True,38,1333,True,37,625,False,38,874,False,,,,
skutterudite,family,skutterudite,258,245,18696,True,231,18088,True,229,14348,True,230,15825,True,,,,
tetradymite,family,tetradymite,426,412,11423,True,401,11244,True,368,9236,True,350,9470,True,,,,
tetrahedrite,family,tetrahedrite,26,26,771,False,25,706,False,25,688,False,25,746,False,,,,
tm_silicide,family,tm_silicide,123,115,3725,True,117,3650,True,97,2277,True,66,1744,True,,,,
zinc_antimonide,family,zinc_antimonide,52,51,2972,True,47,2833,True,44,1964,True,41,2220,True,,,,
