sample_id,Composition_detailed,GROUP,exception_type,exception_message
12,Bi0.5Sb1.5Te3 + 25wt% Te,Bi2Te3,ValueError, + 25wt%  is an invalid formula!
13,Te + As-doping,Element,ValueError,could not convert string to float: '-'
18,NaxPb1-xTe (0.5% < x < 2%),PbTe,ValueError,0.5% < x < 2% is an invalid formula!
19,BiSbTe alloy,Bi2Te3,ValueError,alloy is an invalid formula!
25,Pb0.975Na0.025S+3mol% CdS,Sulfide,ValueError,+3mol%  is an invalid formula!
35,inorganic ligand capped Bi2Te3,Bi2Te3,ValueError,inorganic ligand capped  is an invalid formula!
36,micro-grain and nano-grain Bi0.5Sb1.5Te3,Bi2Te3,ValueError,micro-grain and nano-grain  is an invalid formula!
39,Bi0.5Sb1.5Te3 + 0.2wt% Mn-decorated,Bi2Te3,ValueError,could not convert string to float: '-'
41,Bi2Te3 + 2.0vol% Ag NPs,Bi2Te3,ValueError, + 2.0vol%  is an invalid formula!
42,Bi2Te3(ZM) 85wt% + Bi2Te3 nanotube 15wt%,Bi2Te3,ValueError,wt% +  nanotube 15wt% is an invalid formula!
43,Bi0.5Sb1.5Te3 + 0.05wt% Ag,Bi2Te3,ValueError, + 0.05wt%  is an invalid formula!
45,nanostructured Bi2Te3/MnTe2 composite,Bi2Te3,ValueError,nanostructured / composite is an invalid formula!
47,Bi2Te2.85Se0.15 : I 0.005,Bi2Te3,ValueError, :  is an invalid formula!
49,Bi2Te2.7Se0.3 : I 0.0075,Bi2Te3,ValueError, :  is an invalid formula!
51,Bi2Te2.85Se0.15 : I0.005,Bi2Te3,ValueError, :  is an invalid formula!
52,Bi2Te3 + 5.0vol% Bi NPs,Bi2Te3,ValueError, + 5.0vol%  is an invalid formula!
54,(Bi2Te3)85(Bi2Se3)15 nanoflakes,Bi2Te3,ValueError, nanoflakes is an invalid formula!
55,Bi0.48Sb1.52Te3 + 1 at% Fe,Bi2Te3,ValueError, + 1 at%  is an invalid formula!
60,Bi2Te3 nanowires (heat-treated twin-containing NWs),Bi2Te3,ValueError,heat-treated twin-containing  is an invalid formula!
65,Bi0.48Sb1.52Te3 + 4mol% WSe2,Bi2Te3,ValueError, + 4mol%  is an invalid formula!
66,Bi2Te3 ingots,Bi2Te3,ValueError, ingots is an invalid formula!
71,Bi2Te3 nanowires ,Bi2Te3,ValueError, nanowires  is an invalid formula!
74,Bi2Te2.4 nanorods,Bi2Te3,ValueError, nanorods is an invalid formula!
83,PbTe +3at% In,PbTe,ValueError,+3at%  is an invalid formula!
